LOC_NUM,Year,Month,Day,Date all same format(DD-MM-YYYY),DayofSeason,DUCK_ID,SEAS_NUM,DECADE_NUM,SEX,SexCode,AGE_NUM,HatchAdultOrUnknown,AgeSex,BM,WNG_LNGTH,FOOD_ESOPH,RAIN_STATION,Rain_CM,WSI_STATION,WSI,RIV_GAGE,GageDischarge,GageHeight,Gage_M
1,1979,12,8,8-Dec-79,20,101,1,1,1,Male,2,A,1,1250,299,1,"YAZOO CITY 5 NNE, MS US",0.5588,"YAZOO CITY 5 NNE, MS US",-6.527777778,"Big Black River Near Bovina, MS",15500,34.5,10.5225
1,1979,12,8,8-Dec-79,20,110,1,1,1,Male,2,A,1,1500,311,1,"YAZOO CITY 5 NNE, MS US",0.5588,"YAZOO CITY 5 NNE, MS US",-6.527777778,"Big Black River Near Bovina, MS",15500,34.5,10.5225
1,1979,12,8,8-Dec-79,20,111,1,1,1,Male,2,A,1,1580,308,1,"YAZOO CITY 5 NNE, MS US",0.5588,"YAZOO CITY 5 NNE, MS US",-6.527777778,"Big Black River Near Bovina, MS",15500,34.5,10.5225
1,1979,12,8,8-Dec-79,20,106,1,1,1,Male,2,A,1,1400,294,2,"YAZOO CITY 5 NNE, MS US",0.5588,"YAZOO CITY 5 NNE, MS US",-6.527777778,"Big Black River Near Bovina, MS",15500,34.5,10.5225
1,1979,12,8,8-Dec-79,20,107,1,1,1,Male,2,A,1,1360,303,2,"YAZOO CITY 5 NNE, MS US",0.5588,"YAZOO CITY 5 NNE, MS US",-6.527777778,"Big Black River Near Bovina, MS",15500,34.5,10.5225
1,1979,12,8,8-Dec-79,20,108,1,1,1,Male,2,A,1,1090,297,2,"YAZOO CITY 5 NNE, MS US",0.5588,"YAZOO CITY 5 NNE, MS US",-6.527777778,"Big Black River Near Bovina, MS",15500,34.5,10.5225
1,1979,12,8,8-Dec-79,20,113,1,1,1,Male,2,A,1,1300,298,2,"YAZOO CITY 5 NNE, MS US",0.5588,"YAZOO CITY 5 NNE, MS US",-6.527777778,"Big Black River Near Bovina, MS",15500,34.5,10.5225
1,1979,12,8,8-Dec-79,20,114,1,1,1,Male,2,A,1,1140,287,2,"YAZOO CITY 5 NNE, MS US",0.5588,"YAZOO CITY 5 NNE, MS US",-6.527777778,"Big Black River Near Bovina, MS",15500,34.5,10.5225
1,1979,12,8,8-Dec-79,20,115,1,1,1,Male,2,A,1,1140,289,2,"YAZOO CITY 5 NNE, MS US",0.5588,"YAZOO CITY 5 NNE, MS US",-6.527777778,"Big Black River Near Bovina, MS",15500,34.5,10.5225
1,1979,12,8,8-Dec-79,20,118,1,1,2,Female,2,A,2,1310,283,1,"YAZOO CITY 5 NNE, MS US",0.5588,"YAZOO CITY 5 NNE, MS US",-6.527777778,"Big Black River Near Bovina, MS",15500,34.5,10.5225
1,1979,12,8,8-Dec-79,20,119,1,1,2,Female,2,A,2,1145,282,1,"YAZOO CITY 5 NNE, MS US",0.5588,"YAZOO CITY 5 NNE, MS US",-6.527777778,"Big Black River Near Bovina, MS",15500,34.5,10.5225
1,1979,12,8,8-Dec-79,20,112,1,1,1,Male,1,H,3,1275,285,1,"YAZOO CITY 5 NNE, MS US",0.5588,"YAZOO CITY 5 NNE, MS US",-6.527777778,"Big Black River Near Bovina, MS",15500,34.5,10.5225
1,1979,12,8,8-Dec-79,20,117,1,1,1,Male,1,H,3,1220,278,1,"YAZOO CITY 5 NNE, MS US",0.5588,"YAZOO CITY 5 NNE, MS US",-6.527777778,"Big Black River Near Bovina, MS",15500,34.5,10.5225
1,1979,12,8,8-Dec-79,20,105,1,1,2,Female,1,H,4,1065,266,1,"YAZOO CITY 5 NNE, MS US",0.5588,"YAZOO CITY 5 NNE, MS US",-6.527777778,"Big Black River Near Bovina, MS",15500,34.5,10.5225
