Year,AvgTempLMAV,Average_Temp_Deviations,AverageDischargeLMAV,Average_Discharge_Deviation_LMAV,AverageCumulativeRainfall,AverageDevPerYR
1,5.485684161,-0.728755846,931.7126437,-366.8331,33.68886667,0.686001587
2,4.68290564,-1.531534366,332.5249042,-652.3428367,16.01893333,-16.98393175
3,4.158722557,-2.055717449,1101.229885,271.8862806,25.273,-7.729865079
4,7.172200937,0.957760931,2660.272031,2660.272031,62.23,29.22713492
5,3.519848872,-2.694591134,1630.858621,1630.858621,46.5582,13.55533492
6,5.446342828,-0.768097178,2337.56705,2337.56705,30.84406667,-2.158798413
7,6.421196768,0.206756762,1418.559387,1418.559387,14.67273333,-18.33013175
8,6.264278938,0.049838932,840.6475096,840.6475096,27.64366667,-5.359198413
9,3.924490861,-2.289949145,2181.440613,2181.440613,23.74053333,-9.262331746
10,6.872073223,0.657633217,1638.394636,1638.394636,47.6504,14.64753492
11,6.561327724,0.346887718,1043.770881,1043.770881,40.19973333,7.196868254
12,7.298863096,1.08442309,1892.980843,1892.980843,44.76326667,11.76040159
13,7.410675381,1.196235375,1363.360153,1363.360153,28.49033333,-4.512531746
14,6.518731375,0.304291369,1406.808429,1406.808429,25.99266667,-7.010198413
15,5.078880672,-1.135559334,2074.881226,2074.881226,35.28906667,2.286201587
16,6.457607686,0.24316768,1271.425287,1271.425287,22.6314,-10.37146508
17,5.14051192,-1.073928086,522.0986043,522.0986043,19.79506667,-13.20779841
18,6.444441969,0.230001963,1019.926024,1019.926024,41.9608,8.957934921
19,7.299914857,1.085474851,574.454023,574.454023,33.7058,0.702934921
20,8.962807033,2.748367027,1308.065134,1308.065134,40.26746667,7.264601587
21,7.258110824,1.043670818,413.8553257,413.8553257,18.02553333,-14.97733175
22,3.267129154,-2.947310852,601.5900383,601.5900383,32.77446667,-0.228398413
23,7.632085082,1.417645076,1823.025939,1823.025939,57.785,24.78213492
24,5.471848302,-0.742591704,892.2968966,892.2968966,25.781,-7.221865079
25,5.618744245,-0.595695761,1024.26705,1024.26705,30.81866667,-2.184198413
26,6.889527458,0.675087452,1762.329502,1762.329502,39.05673333,6.053868254
27,6.894895973,0.680455967,592.3164368,592.3164368,26.33133333,-6.671531746
28,6.729836165,0.515396159,1605.990421,1605.990421,31.91933333,-1.083531746
29,7.387262057,1.172822051,870.4569349,870.4569349,34.52706667,1.524201587
30,5.709413267,-0.505026739,563.3122605,563.3122605,24.14693333,-8.855931746
31,4.056286876,-2.15815313,2523.448276,2523.448276,32.03786667,-0.964998413
32,4.537283639,-1.677156367,269.9117625,269.9117625,18.93993333,-14.06293175
33,8.269207172,2.054767166,1659.619732,1659.619732,41.51206667,8.509201587
34,8.161565712,1.947125706,1104.668966,1104.668966,36.91466667,3.911801587
35,3.038997297,-3.175442709,1479.243716,1479.243716,36.55906667,3.556201587
36,6.128589907,-0.085850099,718.5788123,718.5788123,22.0726,-10.93026508
37,7.817027598,1.602587592,2515.658238,2515.658238,27.4828,-5.520065079
38,8.589235549,2.374795543,533.1616092,533.1616092,29.718,-3.284865079
39,4.770746087,-1.443693919,419.1169732,419.1169732,32.2326,-0.770265079
40,7.144529587,0.930089581,1953.222222,1953.222222,46.76986667,13.76700159
41,8.20895503,1.994515024,1736.563602,1736.563602,49.67393333,16.67106825
42,6.303696773,0.089256767,1287.449706,1287.449706,29.62486667,-3.377998413
